site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
DE-Gri,2015,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2016,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2017,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2018,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2019,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2020,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2021,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2022,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2023,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2024,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2015,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2016,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2017,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2018,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2019,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2020,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2021,245,True,,0.0,0,0.0,0,0.0,0
DE-GsB,2022,245,True,,0.0,0,0.0,0,0.0,0
